index,success,ik_time_ms,pos_err_m,rot_err_rad,failure_reason
270,1,0.768937,3.7749527598800084e-08,5.960464477539063e-08,
271,1,0.721693,5.462300445714852e-08,2.7003601288974655e-06,
272,1,0.611487,6.759492439871648e-08,3.9311963195422116e-07,
273,1,0.936160,1.0186231427860676e-08,0.0,
274,1,0.842516,4.5830042408805905e-07,2.566462772084768e-06,
275,1,0.997045,7.890011208933564e-09,0.0,
276,1,0.934399,1.045807621832801e-07,1.7881393432617193e-07,
277,1,0.828344,1.3272014025089335e-07,1.7049950051770491e-06,
278,1,0.890875,1.6746598807334215e-09,0.0,
279,1,0.866304,2.137847798823844e-06,4.122965774129919e-06,
280,1,0.794283,1.4780361627745176e-06,1.1026859283447405e-06,
281,1,0.746820,1.030043725245342e-07,2.043144285798385e-07,
282,1,1.022132,6.066972268860605e-09,0.0,
283,1,1.042339,3.159276588672189e-07,3.009887021291878e-07,
284,1,0.666960,4.197916750061974e-09,0.0,
285,1,0.902225,3.470578327676353e-09,0.0,
286,1,0.777013,4.7668092062241517e-07,2.1521734267332174e-06,
287,1,0.712688,3.7178767580910804e-06,6.103367193662189e-06,
288,1,0.788524,6.30290624028092e-08,8.688795409866194e-07,
289,1,1.218222,3.6299301439844776e-07,2.337345815145053e-06,
290,1,1.192703,7.328858642480135e-08,7.300048299977715e-08,
291,1,0.968304,1.5651683615336633e-06,1.1827430029502342e-06,
292,1,0.962965,2.8380812333452546e-12,0.0,
293,1,1.005445,4.303817280852693e-07,1.3058723390225787e-06,
294,1,1.099108,2.8075981256264554e-07,2.3654860059004356e-07,
295,1,0.933318,1.0518383290165012e-07,4.588009213906731e-07,
296,1,0.819067,1.5574762862902628e-09,0.0,
297,1,0.966761,1.4836785397220195e-08,0.0,
298,1,1.017956,2.7564811178505366e-08,2.9802322387695312e-08,
299,1,0.877384,2.8155573336747603e-06,8.381025612780765e-06,
300,1,0.958352,1.113506168594362e-09,0.0,
301,1,0.766546,1.0237635438254281e-10,0.0,
302,1,1.143596,5.253578359389811e-06,4.91259442861956e-06,
303,1,1.037488,3.1862624568446723e-07,1.0929775727327154e-06,
304,1,1.026432,1.832808027224754e-07,5.331201499700061e-07,
305,1,0.959680,3.01759511123269e-08,0.0,
306,1,1.063755,6.486289211807116e-07,5.101335873789709e-07,
307,1,0.943009,9.076612930385611e-08,1.1418607271115944e-06,
308,1,1.099817,4.687762802638678e-10,0.0,
309,1,0.769260,3.513063081302255e-10,4.2146848510894035e-08,
310,1,0.811325,8.160010248420982e-09,0.0,
311,1,0.777266,2.6517345486120605e-09,2.9802322387695312e-08,
312,1,0.707216,2.2741049365045576e-09,0.0,
313,1,0.774102,4.994683201525189e-07,7.390735606931039e-07,
314,1,0.737387,1.9100697199605022e-07,6.730311984203021e-07,
315,1,0.853421,3.5658401430883102e-09,0.0,
316,1,0.799656,4.84820125282346e-09,0.0,
317,1,0.884050,5.705674789236211e-07,8.508028044474307e-07,
318,1,0.773925,1.8182777934802885e-06,6.6370247026425806e-06,
319,1,0.883877,4.358781288586378e-06,6.408261652998426e-06,
320,1,0.794027,6.977717550690142e-08,1.264405455326821e-07,
321,1,0.910797,5.746997390729576e-09,0.0,
322,1,0.942427,1.1592926703690094e-06,7.694368649994896e-06,
323,1,0.722086,8.473400466394628e-10,0.0,
324,1,0.970740,7.202739002977708e-09,0.0,
325,1,0.649258,1.3563289586273366e-06,9.620704823221022e-06,
326,1,0.779858,1.794155799061066e-08,4.2146848510894035e-08,
327,1,0.724696,6.912126274698793e-08,2.665600749850024e-07,
328,1,0.737746,2.5487192666362933e-06,7.62502770697001e-06,
329,1,0.747152,8.881334561549262e-07,1.3031489318058392e-06,
330,1,0.786156,2.0749306280727014e-11,0.0,
331,1,0.871879,1.169885091497974e-09,0.0,
332,1,0.862000,1.0235230617805587e-07,4.204134935041043e-07,
333,1,1.021476,3.566023921345276e-07,5.364418029785172e-07,
334,1,0.900256,1.5222860174828985e-09,0.0,
335,1,1.019841,1.6913298564256198e-06,2.708898319162895e-06,
336,1,0.835997,6.578998678928584e-08,3.264680847556393e-07,
337,1,0.761249,8.090441154446462e-12,0.0,
338,1,0.786043,6.769662534279753e-11,0.0,
339,1,0.728192,1.710282662652684e-09,0.0,
340,1,0.991183,6.151245750301761e-09,0.0,
341,1,0.715500,8.84612811904654e-06,6.521467277304892e-06,
342,1,0.702399,2.818588451654601e-10,0.0,
343,1,0.742987,5.90987474750049e-10,2.9802322387695312e-08,
344,1,0.769395,1.3041172660089768e-08,4.2146848510894035e-08,
345,1,0.715232,3.303785910726314e-08,2.3276357876976306e-07,
346,1,0.755212,8.825825610040134e-11,0.0,
347,1,0.726908,2.2135224001682375e-11,0.0,
348,1,0.833936,3.5993253746283256e-06,6.10154788887044e-06,
349,1,0.757093,6.95164848579115e-11,0.0,
350,1,0.887779,7.620642566148287e-08,7.220531368008723e-07,
351,1,0.834197,2.009421240544512e-09,0.0,
352,1,0.705318,2.5899615911802807e-08,0.0,
353,1,0.980837,1.4302236873219372e-08,0.0,
354,1,0.915329,1.7516200920105643e-08,0.0,
355,1,0.701514,1.7847878938443207e-07,5.65459309846471e-07,
356,1,0.727390,1.7519458751237306e-08,1.490116119384766e-07,
357,1,0.611293,1.1439803174846796e-09,0.0,
358,1,0.740428,1.2243192981860171e-06,5.293164294583799e-06,
359,1,0.714010,1.9106619368948896e-06,2.038792535840012e-06,
360,1,0.966208,3.818385088491098e-08,1.5196262340524156e-07,
361,1,0.885093,2.4833106082167467e-10,0.0,
362,1,0.757671,1.2341911328196545e-07,2.493441183966625e-07,
363,1,0.781532,7.848436891797396e-09,0.0,
364,1,0.751003,2.4116262808964304e-09,0.0,
365,1,0.884704,4.4598815493050625e-06,7.18316344754277e-06,
