index,success,ik_time_ms,pos_err_m,rot_err_rad,failure_reason
138,1,0.777515,9.383821072373572e-08,2.980232238769534e-07,
139,1,0.783733,5.975312251705752e-09,0.0,
140,1,0.744161,5.748067078028512e-09,0.0,
141,1,0.778361,1.1339858069240672e-07,3.068336886461678e-07,
142,1,0.780370,3.6603725312308006e-09,0.0,
143,1,0.716368,7.204020094669973e-10,0.0,
144,1,0.725877,1.6049367769892917e-09,0.0,
145,1,0.772818,1.6926484388770317e-06,9.451706819958196e-06,
146,1,0.827868,2.6549372566129784e-10,0.0,
147,1,0.714391,2.991281979538453e-10,0.0,
148,1,0.717843,7.959563379907972e-11,0.0,
149,1,0.744252,2.3540201294790645e-09,0.0,
150,1,0.689577,5.651598450788807e-06,7.63067499234317e-06,
151,1,2.068794,1.1061774398658211e-09,0.0,
152,1,0.597551,8.232756207230073e-06,8.804657223787393e-06,
153,1,0.636732,2.4466270292331818e-08,1.9082797281243954e-07,
154,1,0.760587,1.8974138937864702e-10,0.0,
155,1,0.634179,1.1679900576844068e-09,0.0,
156,1,0.513976,8.288170594296903e-10,0.0,
157,1,1.059189,5.3780042780842884e-08,2.9802322387695312e-08,
158,1,0.723691,1.9669856795132727e-09,0.0,
159,1,0.635293,1.3341283524468909e-08,2.9802322387695312e-08,
160,1,0.856926,1.2495310331381452e-06,1.3450722809311116e-06,
161,1,0.651734,1.651970033594598e-08,9.424321830774485e-08,
162,1,0.619201,1.007832094092823e-06,4.1870937207647e-06,
163,1,0.647496,3.818733399187617e-09,0.0,
164,1,0.746758,8.989200216617459e-10,0.0,
165,1,0.722203,2.8254173237185494e-10,0.0,
166,1,0.712636,8.80091556622934e-10,0.0,
167,1,0.774129,7.742446878900785e-08,1.2287812309317772e-07,
168,1,0.713805,5.820014764489191e-10,0.0,
169,1,0.684584,1.6881073327932766e-09,0.0,
170,1,0.798678,1.260319483305537e-06,4.628387981225956e-06,
171,1,0.703889,5.9553876001319504e-08,1.6858739404357617e-07,
172,1,0.769016,6.576550103349675e-08,1.2990531157078367e-07,
173,1,0.779558,4.815306480691371e-10,0.0,
174,1,0.730346,9.145441916582529e-07,1.0929775727327154e-06,
175,1,0.959525,1.0736471144693097e-08,5.960464477539063e-08,
176,1,0.551880,7.475204700478996e-07,2.3219050384501874e-06,
177,1,1.142380,3.031364572920318e-08,1.7631291696726137e-07,
178,1,0.608967,2.6852552695089354e-07,5.297776709387073e-07,
179,1,2.990529,2.4448220957205905e-07,7.336457744295144e-07,
180,1,0.668477,1.4566371832730561e-08,0.0,
181,1,0.562988,4.219033787748291e-08,0.0,
182,1,0.509229,8.380868757713272e-10,0.0,
183,1,0.552369,1.2189403594042552e-07,5.16191365590357e-08,
184,1,0.636419,3.21902210844055e-08,1.4600096599955432e-07,
185,1,0.687406,2.0468757756006685e-09,0.0,
186,1,0.673272,3.0462782703170714e-07,1.610980242698186e-06,
187,1,0.707131,1.9321025224173712e-07,2.289159818848554e-07,
188,1,0.758116,1.6289220794824178e-10,0.0,
189,1,0.767620,6.379846168629014e-09,0.0,
190,1,0.776921,4.2952724696923e-07,4.115958597625366e-06,
191,1,0.757037,3.6899200535645277e-09,0.0,
192,1,0.861425,6.203130048732211e-08,8.269808844036882e-07,
193,1,0.800824,1.183234689762576e-06,2.766804980369343e-06,
194,1,0.748429,1.357649458989105e-09,0.0,
195,1,0.811047,4.231092497579223e-09,0.0,
196,1,0.566815,1.1932477294823735e-10,0.0,
197,1,0.692248,3.1827116287368844e-10,0.0,
198,1,0.857254,1.3744361181249435e-07,5.16191365590357e-08,
199,1,0.720666,1.179494682551879e-08,0.0,
200,1,0.791709,1.1482801703503316e-08,0.0,
201,1,3.906995,1.1831518265487343e-07,9.424321830774485e-08,
202,1,0.757413,6.084092785085475e-07,4.736038197810216e-06,
203,1,0.673564,1.5988616331086435e-06,2.7998326257607948e-06,
204,1,1.004388,1.3089173365148756e-08,5.960464477539063e-08,
205,1,0.738986,1.664191102156692e-11,2.9802322387695312e-08,
206,1,0.806597,1.5913274378491954e-08,9.424321830774485e-08,
207,1,0.660287,1.164845665877243e-10,0.0,
208,1,0.549394,4.560579043120561e-08,1.264405455326821e-07,
